path1,path2
0,13342
46948,20297
101999,86626
77308,149616
117171,110476
53917,104744
1876,24466
67550,43099
126540,130588
88888,98712
54173,126353
19684,35256
44386,141203
119776,91644
62424,58460
54855,47312
22843,48623
21788,110522
18008,109115
60921,104480
5239,25606
39829,130713
12138,25336
10693,53672
101521,132248
118376,43520
31182,27233
77050,59374
67192,3835
75529,55602
29998,34839
111060,69891
144801,22950
37453,80996
78184,100522
69516,34462
137737,18693
31967,89655
126574,16188
70125,37296
94688,141921
130064,123605
56507,86831
51372,129420
122090,15494
37442,74693
121164,24568
109897,91936
91068,146259
7856,143306
84954,100327
114522,35621
138748,136422
47652,143791
134563,147421
53499,144891
95196,29548
105552,102257
107611,49584
90100,82608
7575,109594
87680,70793
117148,9037
42372,75191
50683,87250
84938,116315
38856,47893
59257,14050
21026,32142
96655,83615
124873,82560
44693,132492
25254,139729
27418,71390
22880,100855
44271,43111
116150,85955
113815,57243
56588,31378
35994,17858
53667,134372
60883,105647
67720,92911
48911,103180
99595,91795
141840,105106
118891,72886
129273,342
100854,70299
96830,33340
118160,72537
8923,7406
98175,22910
39583,111208
105476,27964
104235,23910
86008,5510
88877,15670
121777,134160
71629,56923
36202,825
42912,66308
118949,60408
106345,90433
82760,147808
135779,51370
50403,66854
139791,35897
97567,94664
105736,20026
45469,146986
80757,146422
143981,121007
11605,23473
24423,129460
62010,102824
30677,13219
62795,4834
64582,103687
59843,57100
31911,135250
96223,21923
34826,118074
137690,104789
65201,98755
87484,68
144188,122969
18219,63611
35227,95619
21807,134068
111919,5825
101346,23476
99656,33036
90575,1042
86753,96252
98918,33160
5080,29294
144773,49086
100332,43172
68759,120315
77606,7388
118990,39180
129703,91631
121505,101696
21825,57722
94598,99417
101250,54967
43526,53888
142894,37484
131140,138327
12783,4796
23886,114914
59911,42316
10464,146367
103431,70541
16510,148038
44769,23031
69591,149256
6201,41397
114880,109650
25368,13332
17210,11640
38454,113888
61957,62315
134152,28238
110739,90295
64962,136121
106644,34264
114825,51024
136011,110370
64410,67350
22021,96335
44259,55255
41162,76428
88575,65878
2246,123417
129991,147842
142268,149295
63770,65905
148243,131549
135365,78456
85712,108126
54541,59688
104376,60189
16691,3994
73213,60508
32200,38994
39341,31791
110213,63510
72742,89822
97615,103591
17745,143511
112727,94625
114004,81048
117777,83259
106744,114939
100781,7963
135548,140574
51128,321
112597,83313
139956,137107
75606,19124
83642,113615
143614,64207
19655,133661
30664,84677
45088,123819
63030,1330
135873,118227
142210,125726
134151,111303
73198,136268
56887,10061
21288,20296
145231,101125
114065,107050
51487,52455
139156,52541
23729,81517
118470,126313
34861,140206
26871,31134
19240,110586
118683,96801
2880,137206
52701,4659
126290,123521
142085,35445
137455,8177
30388,99667
43821,12537
61307,131010
35533,50738
61023,34039
7358,48979
8832,93626
17782,79859
120699,140502
149647,19115
73794,110080
45633,10931
136634,57183
54484,121010
100411,24547
21596,26362
31720,32807
103348,15530
101073,37937
33564,148650
106813,61899
103836,91311
54525,7502
55636,43277
65010,58823
14280,122214
95685,5463
133295,127551
14691,126650
41345,59227
28927,70821
96256,116794
120898,119984
47395,106631
132157,10969
125259,18593
114514,90360
64203,2346
114477,124084
83671,147677
45218,30732
52526,15005
121698,136263
91374,140313
136661,104028
50248,114712
3067,122554
130043,66639
116439,140725
123179,83758
62836,39544
100459,46919
10049,100537
122519,66555
16673,140535
43365,74937
37440,38854
108031,11569
105164,22312
2442,73191
102268,122864
52611,10271
24400,148029
27105,1515
54016,149499
18649,125232
43218,149948
59127,15338
35098,40470
84832,149077
62966,123427
47407,52835
80151,117223
29769,124608
45514,121211
73140,73351
65153,38156
134741,111324
60233,79683
133188,8275
7308,120874
111323,120
7690,65748
92679,93760
96434,115879
116907,53383
46873,133072
77064,78041
