path1,path2
83609,91271
54775,93121
60230,93715
245,94690
40953,94925
69737,95377
60432,93265
27739,95196
121091,97292
111383,97188
143842,93456
60933,91176
4106,96421
141439,94143
3213,90969
143677,90759
56641,94070
5408,91291
23203,95756
56059,93947
49859,91039
98202,91999
86453,90601
130419,94607
88379,94968
105402,94734
93775,90971
75490,92128
123241,95075
57089,96406
95549,97733
57516,93010
84295,91613
86024,92117
13648,96102
108076,96256
89916,91727
9979,91940
114974,91459
143432,95202
67320,96311
139389,96741
56670,94886
1867,93798
12889,96365
110072,96954
149828,96740
45795,93731
16858,95244
121985,92726
64667,90804
136693,91320
133288,91896
52762,97497
56379,93650
19981,94123
111197,97305
31057,96906
54255,91457
100069,96889
14242,96057
73172,91993
23783,94366
43153,93181
15861,91919
149409,93245
113640,94032
127094,96858
27424,97756
63724,96356
10652,96668
106635,94463
109175,94204
64067,94691
29562,94331
92053,91714
17339,97753
124088,93203
125183,92523
61455,94246
146046,94339
98688,96451
138324,93606
147154,94511
149272,93645
135634,94423
139397,97306
109147,95342
38889,94390
42830,90956
38066,93172
32146,96237
6288,96434
95373,96652
74152,96286
96484,90675
97249,90770
39615,92429
40453,94544
27610,97106
88637,93479
82361,97784
15215,91321
148780,97782
134178,95378
35363,95206
149775,94913
10929,93869
2693,90853
132504,96845
136585,97053
33543,97745
131078,93117
106504,93777
70736,92944
37918,94316
65115,90879
18111,97235
138188,92459
84941,93978
92341,92172
57260,95127
51477,95171
109743,97759
8228,93951
148675,90578
48389,91522
134200,97539
125079,96865
86701,93240
113830,92207
11876,94083
27893,91535
78331,90604
28411,96638
36560,93296
51376,93482
142335,93752
62437,96224
48627,96540
140954,93133
68091,91849
110201,93125
67020,91082
16992,92799
109451,97121
9334,97160
128729,96873
58920,91842
123831,91213
108048,93776
121185,97216
17819,95892
91927,96523
134964,97242
32598,96597
55718,97072
132122,94498
4886,91375
121498,97642
122149,90600
71148,91053
11530,92438
48574,90979
149418,93013
40208,97695
25900,96882
113960,93847
83624,93414
72186,91782
54908,97318
135999,97088
68934,97469
123921,92269
10612,94688
141137,91905
54981,95981
104016,93215
109122,96717
52823,93533
68548,91107
105751,92056
138529,97749
80175,95317
44156,96000
62505,94336
60865,96424
109425,90712
39374,95064
129017,90904
9458,92133
61789,92704
3417,91273
21974,93267
102280,92434
52585,95723
100291,95026
68482,94503
49080,96236
25153,95369
9474,93710
76365,92901
5264,90615
81410,92289
90199,92890
9224,91630
14888,93528
59246,97115
4652,95408
57007,93696
13951,92634
82153,96435
34523,95356
70752,92012
111703,91799
101633,96446
7303,91941
146007,97186
55642,94806
46706,95434
32892,97112
26595,91248
83234,92830
41356,92568
43152,96960
121009,91661
115673,90822
97819,90847
38953,92486
133922,96505
98583,92957
118379,96856
58940,97698
14901,94970
43736,95493
50424,92213
139999,91002
85904,91316
122353,97389
76478,96517
117078,94684
120670,94929
129737,90925
59622,93753
123720,93217
139121,94091
24914,96655
138453,91433
95066,95059
130536,95854
101789,95544
65644,95639
53335,90983
48946,90546
82403,95110
112543,96689
133573,96402
94165,91460
41424,93142
67665,96970
136955,95686
38966,92753
123528,96803
10579,96830
76364,96636
40791,96726
143754,92247
42617,93469
66681,91456
77942,90934
148270,95531
9646,94979
114172,95614
127702,95920
19363,93521
34024,93378
142279,93537
4031,92319
35428,97066
129276,96852
15290,97425
3199,96050
128010,96637
11945,94277
91089,96931
2067,97615
55219,94832
45725,92057
113259,91374
17636,91196
104961,90713
2752,91367
107532,90583
37149,96622
51943,97140
79448,95441
87282,96504
57152,96871
111735,95363
48265,95338
117403,93896
26588,94372
2753,95665
133764,94150
48999,92679
108591,96069
144179,97346
103408,95717
108518,90805
70778,93252
15590,95429
46776,94743
95009,92952
355,96885
147146,93454
68943,96940
34768,97226
12949,95855
138233,91298
14915,91380
56106,92913
53827,93804
4201,91293
67661,94515
30453,94130
148030,97070
110061,94755
60251,97069
103868,91996
142402,91068
10569,90912
128432,91778
93432,95489
73823,95384
58338,93292
17573,95462
118423,92674
135648,96781
16009,97225
95508,95660
132555,94597
8038,95685
134769,91928
4317,93857
72781,93591
85648,93843
56761,92936
74945,95751
138691,94397
127571,96201
106749,95324
48118,91960
82628,91197
65034,92355
34205,93747
64963,94566
76723,93863
72787,92975
111771,93851
141892,95210
30019,95181
134192,92357
23762,91217
104081,95620
73004,92556
139217,96883
93649,93522
19871,96416
79375,95925
139524,97215
40082,90551
67923,95921
105664,93792
78374,95772
99999,93683
102923,91965
77724,95827
84079,95624
45609,97241
85440,95029
39087,96648
78542,92051
2452,94846
50477,93940
60836,92334
1100,95934
52512,92390
64347,90579
96783,95358
143565,96968
117603,92155
40197,91179
18394,90643
146095,91218
82987,90719
140059,91627
51954,94588
72937,96868
111916,94329
38762,94863
109280,97715
81304,95829
17912,93996
56848,96223
71376,97585
113743,96730
19311,92807
102578,91589
58804,97650
56025,94346
146338,97117
68574,90673
46665,97333
87047,94009
36174,96456
146785,97029
88453,95817
53251,95626
86914,94480
4521,91011
149865,90661
23899,92071
60791,93110
108655,95575
21074,95997
49473,95524
56266,92566
75156,94966
31007,93096
65520,97430
123790,96598
146634,92739
4891,93108
7235,96973
148240,92963
109889,93206
68441,90926
90056,94326
84626,94619
22475,95200
13162,95893
62295,96323
129079,93588
146043,91513
139013,90985
141570,92831
19435,91423
69352,92437
109263,95488
20509,95535
53408,93946
23535,95010
83163,97092
106097,93862
56933,90768
140589,91477
89250,92340
68018,91300
9702,93993
129027,97407
93897,94864
88750,92524
62427,90888
36431,94689
52552,94639
140527,92761
65213,91918
7234,93908
24496,92215
135700,97348
66312,97563
15046,94430
14846,96707
99689,97760
112126,95899
134572,96035
86722,90521
40222,94140
57133,96553
137829,91713
142736,92921
17466,94187
14877,91780
85034,93955
30789,95285
83280,97567
27650,91699
98630,94219
83284,94624
10144,94527
29476,96969
88090,94901
26565,95636
75173,92378
94955,91554
135172,94484
88243,91515
20797,94038
124170,92707
138507,96616
8318,90786
77983,92027
84864,94458
41351,96543
101481,92555
69146,93536
71905,94350
123597,94529
27589,92879
10041,93188
50483,94296
864,92112
1963,94407
96215,91815
142935,96923
22790,96914
97584,96743
29757,95901
90726,97133
48129,95586
8011,94614
68520,94849
26908,93531
117683,97397
145653,95911
145942,95070
50010,91958
64017,94322
113358,96119
132968,91078
10353,94532
67741,90744
2853,94879
139668,97416
61415,95874
6070,93844
23959,92841
96920,91144
85297,90574
17872,94436
20921,95850
49326,93926
145524,92463
45297,97468
63723,96235
12908,95814
99875,96123
149527,94787
132416,95985
144624,96719
92403,91507
81937,90646
28732,93893
71022,97426
92296,94528
77537,90575
130493,96198
121438,97738
74320,95306
126476,94598
138989,91114
141795,95470
55142,96884
72190,96448
70115,90798
68640,91509
147044,90881
131581,92874
149854,91238
140337,91942
21066,94751
11489,92069
62751,90877
84092,90648
91435,91346
23830,93164
127751,90988
52498,90935
90896,90704
112055,91989
111831,96265
62593,95496
71846,95132
11299,95941
39919,94201
27561,91907
3426,91214
122409,92916
30585,91116
77105,95633
80062,94119
54126,95307
34277,91077
76808,90908
92725,97467
105464,96276
122642,90766
149156,94570
19985,94650
87894,139798
2828,140456
15572,143463
2690,142000
118086,143762
28182,143222
66059,143352
141487,141192
21370,143249
28361,140281
60573,140981
6403,137734
5061,141399
48704,142025
85122,142029
1662,142553
77083,141281
110314,138973
322,142790
23660,142717
63831,141638
28132,142380
44630,140734
134077,137974
83988,141893
97393,140208
57962,139383
56125,139495
6767,142095
97280,142545
138348,138968
67110,142885
85892,139597
120198,139988
141634,141933
70441,140545
74278,137889
68153,140404
119910,140834
17489,142661
506,140407
100490,142944
130843,142716
141333,143015
88008,143713
105947,141963
52296,141455
44119,141253
111841,143706
95375,143514
93490,139283
