path1,path2
71294,896
92454,134710
38754,59486
144062,106727
58214,116339
36741,84700
105878,15801
98696,104338
15358,7807
18082,60919
11822,23921
88752,105500
110425,128153
147011,137950
104259,69048
109292,34952
10975,27115
5242,16950
76892,17589
108831,2083
123349,100593
22402,145384
40485,57095
36724,16100
19268,146546
7383,69749
68798,3891
48047,18813
54047,27878
41873,29970
86226,79624
101651,45442
53418,122957
17719,47617
14969,103058
37838,141245
55155,49208
65403,137087
137439,28805
113467,117534
88181,143130
23983,36314
29001,58437
138255,40217
51688,28029
129334,27476
129969,36423
135630,93167
64926,58013
130015,58691
32925,139334
124766,46251
56406,14135
27348,144349
70837,120663
88678,5773
135801,106516
8770,17124
43879,141462
95058,108876
98742,27687
138227,97850
105042,54947
141301,115071
21047,124449
125935,45424
27742,116900
12190,95840
126810,25702
125817,40647
29414,147026
137087,67626
97282,63288
19650,115996
65219,31274
135820,141147
141245,120317
47617,40832
54947,143704
122957,48262
12694,113441
92565,11411
45442,134011
115071,143655
45424,30569
25702,76070
116900,29712
124449,90367
97850,108602
40647,86741
27687,25102
143130,139429
108876,94280
27476,113765
141462,126695
5773,126810
17124,132784
93167,12190
106516,15664
58013,27742
31274,88965
40832,61353
141147,117604
75996,108779
56658,82800
139429,25731
113765,55205
28029,119601
36423,114793
40217,133229
36314,54585
28805,101643
49208,15912
103058,88755
117534,139460
58437,123850
126695,110573
132784,11395
15664,53944
88965,137568
108602,28651
30569,4727
29712,20310
114793,48903
122306,73620
15912,49282
119601,93559
54585,87630
55205,8031
133229,90654
108779,143768
25731,18075
108110,121000
82800,7802
49612,101086
122720,24720
135709,48749
63190,68631
61521,67849
129196,47992
66707,143667
40155,143384
71803,122306
38074,75996
57271,115386
67023,145504
101760,101115
113047,136385
3682,55931
11327,113203
72328,56658
132233,29414
96204,97282
23117,125817
40154,43879
110696,19650
65420,88678
85888,8770
117076,3682
141527,67023
38386,65403
2240,124359
122403,137439
74987,101760
40090,113467
123495,113047
52354,129334
13367,70837
13971,32925
80671,129969
10591,138255
139928,56294
29612,135630
73746,22686
16759,23919
51228,135155
83332,125835
73914,82204
73196,40213
140898,29532
84816,145266
121146,7850
3063,334
149927,65711
46951,28895
51852,149057
74144,121305
63753,2826
52002,142934
83878,21398
109065,97438
23274,44861
48595,26323
131904,93263
29531,55004
27258,119969
61131,54894
30593,133107
32153,72310
125808,74728
22788,130197
21699,129836
78703,31094
25166,110215
109283,24343
17183,102037
106087,39935
65768,66030
141932,100072
136786,135146
57268,65967
6585,25560
76298,40505
92996,91128
34577,37051
111000,141955
147272,109455
109659,94235
1356,122282
84513,141467
2468,140691
120850,17219
141936,125273
125226,84632
75945,26088
132996,72129
132254,80123
75254,23769
88675,11751
10562,73377
77514,47530
110679,111379
135439,11724
122415,39313
133107,86544
119969,72705
46788,7864
129752,96733
55004,70662
72670,78508
44861,125057
55505,16155
149057,104071
127818,146350
30959,79219
26323,6046
79884,14640
93263,5985
108722,121688
54894,133125
60755,120108
97438,141117
142934,3967
142648,51092
47530,73168
2826,20945
21398,11760
121305,132022
65711,66373
145266,146686
334,138481
145930,116109
56294,54742
135155,85395
8804,63624
